gene,pVal
"PSMB1",0.0334746773735882
"RIPK2",0.0335042424086407
"GNG12",0.0337341826139902
"FAM20C",0.0337462054712664
"RAD50",0.0337955621718706
"IQSEC1",0.0338036424521062
"GLRX3",0.0338176969643477
"THRB",0.0338176969643477
"SNAI2",0.0338279619357817
"RBM38",0.0338279619357817
"NR0B2",0.0339273927478942
"NFE2L2",0.0341171247730168
"PSMB6",0.0341741009194249
"ANAPC15",0.0342098728079847
"CYC1",0.0344342026254803
"ZSWIM8",0.0345271022515932
"SUCLA2",0.0347622410234614
"TMEM176A",0.0347883629581978
"GALNS",0.0347935373775267
"NRSN2",0.0347935373775267
"USF1",0.0347935373775267
"CYB5R4",0.03486070715279
"NXF1",0.0349551458356609
"WWC1",0.0350875504715155
"PSMD14",0.035216612877772
"MID1IP1",0.035216612877772
"TTPAL",0.0352564313946356
"ATP13A3",0.0353678334678893
"RING1",0.0353870977697744
"CTC-425F1.4",0.0354037732440931
"PRKAG2-AS1",0.0354037732440931
"MALT1",0.0355115987283204
"ILF2",0.0355253566971652
"RPF1",0.0357004951583569
"A1CF",0.0358585626746742
"NOL7",0.0358868488141487
"RAP2B",0.0359462240638275
"CPB2",0.035958667608839
"FAM211A",0.0361366519969476
"NEK7",0.0361669270139142
"SUPT5H",0.0361824755837695
"TSTD3",0.0362626612441765
"NBPF1",0.0363149510419771
"HEXIM2",0.0364593585249857
"ST3GAL4",0.0366919956832386
"PKM",0.0367251482768887
"ATP6V0B",0.0367703842006476
"MRPS11",0.0368853517515197
"BRD7",0.036970668754601
"ZDHHC18",0.036970668754601
"HPD",0.0371248404552467
"NKRF",0.0371801587822052
"C9orf37",0.0372045990569893
"SMARCAL1",0.0372319244127131
"ARPC1A",0.0373044416145425
"USP39",0.0373893101630349
"CTD-3184A7.4",0.0373893101630349
"CKB",0.0376333437678219
"ENTPD5",0.0376333437678219
"PAOX",0.0376383103420008
"RELB",0.0377127724839842
"ERAP2",0.037985088198643
"FAM98C",0.037985088198643
